site_name,town,county,permit_type,activity,status,latitude,longitude,permit_regime
University of South Wales Hydrogen R&D Centre,Port Talbot,Neath Port Talbot,Standard,"Producing inorganic chemicals such as:
(i) Gases (for example ammonia, hydrogen chloride, hydrogen fluoride, hydrogen cyanide, hydrogen sulphide, oxides of carbon, sulphur compounds, oxides of nitroge",Effective,51.620937573981294,-3.8208128349436747,Installation
Installation of a Hydrogen Refueller,Milford Haven,,Bespoke,"Producing inorganic chemicals such as:
(i) Gases (for example ammonia, hydrogen chloride, hydrogen fluoride, hydrogen cyanide, hydrogen sulphide, oxides of carbon, sulphur compounds, oxides of nitroge",Effective,51.71066915032406,-5.035178024771699,Installation
Lower Yardro Poultry Farm,Presteigne,,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.219904377454256,-3.1328027738598756,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
