site_name,longitude,latitude,permit_regime,town,county,permit_count
Brookhill Landfill Site EPR/AP3739KS,-3.080584906086308,53.180072508447935,Installation,BUCKLEY,CLWYD,4
Brookhill Transfer Station,-3.080959147476689,53.18305357249869,Waste,Buckley,Flintshire,7
Brother Industries (U.K.) Ltd.,-3.039582025701188,53.00217694337393,Waste,Wrexham,Clwyd,4
Broughshire Ltd,-3.565314204306014,51.51987413544817,Waste,Bridgend,Glamorgan,4
Broughton Aircraft Factory EPR/BM3965IA,-2.9796962723847584,53.1719558924292,Installation,CHESTER,CHESTER,6
Brymbo Household Waste Recycling Centre,-3.043953552409307,53.06474169008544,Waste,Wrexham,Clwyd,4
Bryn Glas Farm EPR/FP3434CG,-3.1397355650034355,52.76869223372811,Installation,LLANSANFFRAID,Powys,1
Bryn Lane Composting Facility,-2.9179478804976204,53.05032801162705,Waste,Wrexham,Clwyd,7
Bryn Pica Waste Operations,-3.436825552905613,51.73911398025146,Waste,Aberdare,R C T,21
Bryn Posteg Composting Facility,-3.5186844543607174,52.42682084720328,Waste,Llanidloes,Powys,1
Bryn Posteg Landfill,-3.48539660891294,52.42843959917556,Installation,Llanidloes,Powys,8
Bryn Posteg M R F,-3.5190717633898325,52.42739128483253,Waste,Llanidloes,Powys,2
Bryn Power AD Facility,-3.268083933584484,51.66200171331585,Installation,Hengoed,Caerphilly,1
Bryn Quarry Ltd,-3.266595331166521,51.65994968534804,Waste,Gelligaer,Mid Glamorgan,4
Brynford Poultry Farm EPR/LP3838WB,-3.222894670022309,53.248633931733245,Installation,HOLYWELL,Clwyd,2
Brynmenyn Household Waste Recycling Centre,-3.5806499522084247,51.54899193725389,Waste,Bridgend,Glamorgan,6
Brynna Scrapyard,-3.4546546356667345,51.548149277032174,Waste,Pontyclun,R C T,3
Brynrorin Farm Poultry Unit,-3.265968724644995,52.551528826507486,Installation,Montgomery,Powys,1
Brynthomas Farm,-3.307061308968002,52.24677466997733,Installation,Llandrindod Wells,Powys,1
Building 2,-4.020042395785759,51.64567111569269,Installation,Waunarlwydd,Swansea,1
Builth Wells Quarry,-3.3798853256857733,52.15783354949711,Waste,Builth Wells,Powys,1
Bulky Waste Recycling Centre,-3.7810497129443794,51.78910750121215,Waste,Ystradgynlais,Powys,5
Burton Meadows Farm,-2.960783810241737,53.123630721191525,Installation,Wrexham,Wrexham,1
Bwlch Y Wern  Landfill,-3.532172588342481,52.18135334775757,Waste,Builth Wells,Powys,1
Byass Works,-3.788701113972544,51.5923323058576,Waste,Port Talbot,Neath Port Talbot,7
C A D Recycling Ltd,-3.411254099945001,53.19104152129606,Waste,Denbigh,Denbighshire,1
C A R,-2.9858513461406613,51.62689216986997,Waste,Cwmbran,Gwent,4
CWL13 Data Centre,-3.032841327479603,51.55474368198892,Installation,Newport,Newport,1
Cae Bwsan,-4.3730330223752745,53.01658863347549,Waste,Caernarfon,Gwynedd,2
Cae Uchaf Farm,-4.194619386839623,53.2498305477022,Waste,Menai Bridge,Anglesey,3
Caer Glaw Quarry,-4.428498064125866,53.26009229622285,Waste,Holyhead,Anglesey,1
Caergylchu Waste Management Facility,-4.243331050389655,53.14107862200739,Waste,Caernarfon,Gwynedd,17
Caerhun Farm,-3.8402381103592473,53.217810955076544,Waste,Conwy,Gwynedd,3
Cambrian Autoparts Northwest Limited,-3.497816450674087,53.31167734670137,Waste,Rhyl,Denbighshire,2
Cambrian Concrete,-3.1774453427680616,53.196512835683976,Waste,Near Mold,Flintshire,1
Cambrian Quarry,-3.1763997154806867,53.149571356821546,Waste,Gwernymynydd,Clwyd,3
Capestone Farm,-5.095473182848799,51.7442797757099,Installation,HAVERFORDWEST,Dyfed,2
Capital Valley Recycling,-3.288473242293853,51.756830646518914,Waste,Tredegar,Caerphilly,6
Cardiff Arms Salvage,-3.178884506307797,51.46878039193119,Waste,Cardiff,Glamorgan,5
Cardiff East Wastewater Treatment Works CHP Facility,-3.1364163837668264,51.4735338710472,Installation,Cardiff,Cardiff,1
Cardiff Rod & Bar Mill EPR/BV0759IC,-3.1603894045613963,51.47181536544009,Installation,Cardiff,South Wales,2
Cardiff Section Mill,-3.1422971868613936,51.4795462485979,Installation,Cardiff,Cardiff,2
Carew Car Dismantlers,-4.818221470651089,51.68810763328455,Waste,Tenby,Pembrokeshire,6
Carmarthen EPR/BV9667IV,-4.33221997140373,51.847257452699374,Installation,CARMARTHEN,DYFED,1
Carway Fawr Site Office,-4.180309922394383,51.75031971278907,Waste,Llanelli,Carmarthenshire,2
Castle Meadow,-3.735823475986225,51.53185293569658,Waste,Bridgend,Glamorgan,1
Cefn Barach Poultry Unit,-3.5306445907602524,52.51004726809355,Installation,Caersws,Powys,1
Cefn Graianog Quarry,-4.297166142816173,53.01504907157966,Waste,Caernarfon,Gwynedd,3
Cefn Mawr Poultry Farm,-2.952828049765967,51.72275330513098,Installation,Usk,Gwent,2
Cefn Mawr Quarry Landfill,-3.1892159561712936,53.16369233953229,Waste,Mold,Flintshire,1
Cefnau Bach,-3.458510264885094,52.69788967176005,Installation,Welshpool,Powys,1
CellPath Limited,-3.324915800486702,52.501912307341065,Waste,Newtown,Powys,1
Celtic Recycling Ltd,-3.686053831845144,51.525223313361664,Waste,Bridgend,Glamorgan,6
Central Depot,-3.1713562454733686,51.79296137662509,Waste,Ebbw Vale,Blaenau Gwent,7
Cerrigcroes Poultry Unit,-3.4142937915562923,52.24204080939823,Installation,Llandrindod Wells,Powys,1
Chadwicks Metal Processing Facility,-3.008910682571598,53.20367781490357,Waste,Deeside,Flintshire,2
Chirk Landfill Site EPR/GP3830BG,-3.056465198691549,52.96553029323885,Installation,WREXHAM,Clwyd,2
Cilgwyn Landfill Site,-4.241329462516394,53.06184333331392,Waste,Penygroes,Gwynedd,1
Cillefwr Depot,-4.329191730833966,51.84738043617018,Waste,Carmarthen,Carmarthenshire,6
Cilmaenllwyd Civic Amenity Site,-4.624272340585722,52.10324655465039,Waste,Cardigan,Ceredigion,2
Cinders Farm,-3.008479296848791,52.98927516761552,Installation,Wrexham,Wrexham,1
Circular Waste Solutions – Liquid Waste  Treatment Facility,-4.01757961983214,51.64652280022419,Installation,Swansea,Swansea,3
Clays Site,-2.9317865226548085,53.05422068939748,Waste,Wrexham,Clwyd,3
Cloddiau Poultry Unit,-3.248354958145175,52.50930804685424,Installation,Newtown,Powys,1
Clover Auto Parts,-2.9253225047360063,53.02758154691488,Waste,Wrexham,Wrexham,4
Clydach Metals Recycling Facility,-3.8987103148661295,51.69122835861759,Waste,Swansea,West Glamorgan,4
Clyne Civic Amenity Site,-4.000190112677696,51.60644399367517,Waste,Clyne,Swansea,8
Coed Bolyn Mawr,-4.190457550665212,53.16541250747528,Waste,Caernarfon,Gwynedd,1
Coed Ffridd Arw,-3.88427325513968,52.74485014961466,Waste,Dolgellau,Gwynedd,7
Coed Top Hill,-3.2784361692679824,51.66251887243275,Waste,Nelson,Treharris,6
Coedely Reclamation & Development Scheme,-3.4386985677489523,51.563533583930834,Waste,Tonyrefail,R C T,1
