site_name,longitude,latitude,permit_regime,town,county,permit_count
Plas Bach Farm EA/EPR/VP3037MG/V003,-3.186998340173762,52.74071907264012,Installation,MEIFOD,Powys,2
Plas Einon Quarry,-3.3022339469725863,53.079508737018266,Waste,Clwyd,Denbighshire,1
Plas Gwernoer,-4.230470452960786,53.05041319045694,Waste,Caernarfon,Gwynedd,1
Plas Madoc Household Waste Recycling Centre,-3.05531624959671,52.98253987695185,Waste,Wrexham,Clwyd,7
"Plas Y Dre, Llanwrst",-3.801253318692908,53.13896990250322,Waste,Llanrwst,Conwy,1
Plot 12a,-4.994034818012459,51.71486464415825,Waste,Milford Haven,Pembrokeshire,4
Plot 15 Hawarden Industrial Estate,-2.991820710674716,53.17612543670845,Waste,Deeside,Flintshire,2
Plot 57 Brynmenyn Ind Est,-3.5806278916314955,51.54960370145032,Waste,Bridgend,Glamorgan,7
Plot 7,-4.372418534656481,53.25520709197146,Waste,Holyhead,Isle of Anglesey,1
Plot 8 A,-4.371652590001959,53.25382874093245,Waste,Holyhead,Isle of Anglesey,1
Poeton Cardiff,-3.190872281824245,51.46582676179754,Installation,Cardiff,Cardiff,1
Point Of Ayr Gas Terminal,-3.319675853224848,53.34468702056629,Installation,HOLYWELL,Clwyd,2
Point Of Ayr Treatment Facility,-3.312274914948873,53.340435807001256,Waste,Ffynnongroew,Flintshire,1
Pontrug Landfill - Part Ordnance Survey 3990,-4.240831396697797,53.141889935835,Waste,Caernarfon,Gwynedd,1
Pope Hill 1,-4.996245503870487,51.7745280819556,Waste,Haverfordwest,Pembrokeshire,1
Pope Hill 2,-4.992045571819584,51.77481502717944,Waste,Haverfordwest,Pembrokeshire,1
Pope Hill 3,-4.990581943539177,51.77482532165991,Waste,Pope Hill,Pembrokeshire,1
Port Talbot Steel Works,-3.767282257461465,51.564951554143406,Installation,PORT TALBOT,Neath Port Talbot,4
Port Talbot Steel Works,-3.767282257461465,51.564951554143406,Installation,PORT TALBOT,WEST GLAMORGAN,13
Port Talbot Steel Works,-3.7594623894490407,51.56794664500752,Installation,Port Talbot,Neath Port Talbot,4
Portfield Farm,-2.7377928180005022,51.79973710182296,Installation,Monmouth,Monmouthshire,1
Potters Yard,-3.138223108224257,52.65836261877584,Waste,Welshpool,Powys,20
Powys County Council,-3.140934529413863,52.65177372187718,Waste,Welshpool,Powys,1
Project Red Recycling,-3.336732840513642,51.54355472148479,Waste,Efail Isaf,Pontypridd,7
Project Yellow Recycling,-3.355896338538933,51.52360636404044,Waste,Pontyclun,Rhondda Cynon Taff,2
Pwllfawatkin Landfill Site EPR/BU8819IV,-3.8926307075496487,51.7583997333543,Installation,SWANSEA,West Glamorgan,4
Pwllheli Civic Amenity Site,-4.402032398807516,52.89145727590193,Waste,Pwllheli,Gwynedd,7
Pwllheli Creamery EPR/BL9941IC,-4.375055620796732,52.9255380218318,Installation,PWLLHELI,Gwynedd,3
Pwllpridd Free Range Poultry Unit,-3.981950310882883,52.30650590497618,Installation,Aberystwyth,Ceredigion,1
Pyle Community Recycling Centre,-3.681713413539768,51.524404391249554,Waste,Bridgend,Bridgend,6
Quarry Yard,-3.1775330538488533,51.650329453181385,Waste,Blackwood,Gwent,1
Queensferry Depot,-3.011211671338136,53.20411675652026,Waste,Sandycroft,Flintshire,1
Queensferry Mineral Fibre Works,-3.013344478728009,53.20313678298294,Installation,Deeside,Flintshire,1
R & J Metals,-3.8242448193274616,51.63086574314233,Waste,Neath,Castell-nedd Port Talbot,1
RDA Recycling Ltd,-3.0953903032003085,51.60362174157969,Waste,Risca,Newport,4
RMR Recycling Ltd,-3.164638496663848,51.694813760376455,Installation,Blackwood,Caerphilly,7
Race Farm,-3.0095009226029794,51.67373495983061,Waste,Pontypool,Gwent,1
Racecourse Poultry Unit EPR/XP3838WZ,-3.2699808676922544,53.26971603663048,Installation,HOLYWELL,Clwyd,2
Radnor Hills,-2.964674770789346,52.34656558844112,Installation,Knighton,Powys,2
Rassau Recycling Facility,-3.2313098562571225,51.80558410856381,Installation,Ebbw Vale,Blaenau Gwent,2
Raynes Quarry,-3.665931965447096,53.27158223037197,Waste,Colwyn Bay,Clwyd,1
ReCover Blaenavon Ltd,-3.096163262814347,51.778769889645645,Waste,Blaenavon,Torfaen,4
Rear of Unit 7,-3.248082718770436,51.410425160410426,Waste,Barry,Vale of Glamorgan,4
Recycling Centre At Blaenau Ffestiniog,-3.943148780310057,53.00171878730999,Waste,Blaenau Ffestiniog,Gwynedd,1
Rees Metals,-4.106714549949211,51.67254615342644,Waste,Llanelli,Carmarthenshire,2
Refail Newydd,-4.497704769244292,53.27126729960266,Waste,Holyhead,Gwynedd,1
Rheidol Recycling Park,-4.045789207318357,52.40124046418331,Waste,Aberystwyth,Ceredigion,7
Rhondda Skip Hire,-3.4393383171906486,51.6047899242286,Waste,Williamstown,R C T,5
Rhosddu Farm Poultry Unit,-3.1794106898637,52.74662034967136,Installation,Llansanffraid Ym Mechain,Powys,2
Rhosfawr Pullet Rearing Unit,-3.2999146680723577,52.64655778631661,Installation,Welshpool,Powys,1
Rhuddlan Bach Quarry Landfill Site,-4.27533859041127,53.30227001025938,Waste,Brynteg,Anglesey,12
Rhwngyddwyryd Civic Amenity Site,-4.24403404990915,52.95821544160947,Waste,Garndolbenmaen,Gwynedd,1
Rhydeinon Civic Amenity Site,-4.295792281847302,52.16631536474706,Waste,Llanarth,Dyfed,2
Rhyl Depot,-3.4853516627254693,53.31019715110738,Waste,Rhyl,Denbighshire,1
Rhyl Recycling Park,-3.497024355904645,53.31006018081115,Waste,Rhyl,Denbighshire,7
Rhymney Organic Regeneration Facility EA/EPR/ZP3535MW/V002,-3.286151729663781,51.75518364201306,Installation,Rhymney,Caerphilly,2
Riverside Skips Transfer Station,-3.4511091219653505,53.26045704347883,Waste,St Asaph,Denbighshire,1
Road Runners,-2.9289581129887075,53.18062359776104,Waste,Chester,Flintshire,4
Rosedew Farm,-3.473641339319178,51.39736537289187,Waste,Llantwit Major,Vale of Glamorgan,1
Roseheyworth Household Waste Recycling Centre,-3.15325565025239,51.74446051626953,Waste,Abertillery,Blaenau Gwent,7
Rossett Landfill Gas Utilisation Scheme,-2.999320688210378,53.10868770760713,Waste,Rossett,Wrexham,1
Ruabon Electro Ceramics,-3.037117645609927,53.003187320669554,Installation,WREXHAM,CLWYD,2
Ruthin Civic Amenity Site,-3.31211444762808,53.12211907604774,Waste,Ruthin,Denbighshire,7
Ruthin Waste Transfer Station,-3.3118647545780524,53.12177123257986,Waste,Ruthin,Denbighshire,5
S & R Metals,-4.44828581458303,52.94106269250257,Waste,Pwllheli,Gwynedd,4
S And K Matthews Skip Hire,-3.0830608513351643,53.06148844088384,Waste,Wrexham,Clwyd,1
S J Chadwicks Greenfield,-3.205975866479525,53.29132581358519,Waste,Greenfield,Flintshire,2
S L Recycling Ltd,-3.246760481401885,51.660512656940206,Waste,Hengoed,Caerphilly,5
S P A Davies & Sons,-3.0946249120469287,53.12263690759892,Waste,Mold,Flintshire,4
S P Waste Services Ltd,-3.4081554584387166,52.548942512338265,Waste,Newtown,Powys,1
S.l. Plant Hire,-4.044447417716057,51.77929920112283,Waste,Ammanford,Carmarthenshire,1
SL Recycling Ltd,-3.0121140160691144,51.68261406313282,Waste,Pontypool,Torfaen,13
Safetykleen Broughton,-2.96140941559012,53.1750713854416,Waste,Deeside,Flintshire,1
Safetykleen UK Ltd,-3.1175091864957856,51.50230975772202,Waste,Rumney,Cardiff,2
Sandycroft Poultry Processing,-3.007268577661028,53.1994128284485,Installation,DEESIDE,Clwyd,3
Sandycroft Waste Management Centre,-2.993127923567883,53.19838093849668,Installation,Deeside,Flintshire,3
Sea View Farm 1,-3.0499310835295104,53.19809157265831,Waste,Deeside,Flintshire,1
Sea View Farm 2,-3.0515839861712046,53.199569214096485,Waste,Deeside,Flintshire,1
Seawall Waste Transfer Station,-3.141768743862784,51.48029772342045,Waste,Cardiff,Cardiff,6
Seiont Mill Brickworks and Quarry,-4.256121941579823,53.12979600344834,Waste,Caernarfon,Gwynedd,2
Sensient Flavors Ltd,-4.169327666558607,52.19657630356674,Installation,Lampeter,Ceredigion,1
Sherwin-Williams Packaging Coatings Deeside,-3.006985908228836,53.23204611686462,Installation,Deeside,Flintshire,2
Shotton Paper Mill EPR/BT4885IT,-3.0406651125152546,53.23578391902185,Installation,DEESIDE,CLWYD,4
Shotton Works,-3.0533282725951207,53.227959889879706,Installation,Deeside,Flintshire,5
Silent Valley Landfill Site,-3.182616101491732,51.75168558425613,Installation,Ebbwvale,Blaenau Gwent,2
Silent Valley Waste Transfer station,-3.1834606987313325,51.75406882518391,Waste,Ebbw Vale,Blaenau Gwent,7
Slade Cross,-4.902182818285643,51.68798631520399,Waste,Cosheton,Pembrokeshire,1
Slicker Recycling,-2.9801559594362823,51.56706471255884,Installation,Newport,South Wales,3
Snead Poultry Complex,-3.0085093641859064,52.522384037743215,Installation,MONTGOMERY,Powys,1
Soil Screening And Recycling Facility,-3.211133536327914,51.45300343898399,Waste,Dinas Powys,South Glamorgan,1
Solway Foods Limited,-3.0823380886254954,51.59820397141822,Installation,Newport,Newport,2
South Hook LNG Terminal,-5.084346878375087,51.71920910924263,Installation,Milford Haven,Pembrokeshire,2
South Side Queensway (SSQ),-2.9149212640991697,51.57032502670853,Installation,Newport,Newport,4
Sp Power Systems,-4.18029411175516,53.21043575211483,Waste,Bangor,Gwynedd,2
Spencer Ind Est Scrapyard,-3.0642291876674737,53.17581501283065,Waste,Buckley,Flintshire,2
St Asaph EPR/BX4666IZ,-3.470374900015182,53.25392820401724,Installation,ST. ASAPH,CLWYD,2
St Asaph Lens Coating EPR/JP3536LS,-3.47228880767181,53.25291571832791,Installation,ST. ASAPH,Denbighshire,1
St Davids Civic Amenity and recyciling centre,-5.220604878834458,51.89503168872751,Waste,St Davids,Pembrokeshire,5
St Davids Landfill,-5.22078562443099,51.894307197610026,Waste,St Davids,Pembrokeshire,1
St Modwen Developments Ltd,-3.871842977114164,51.64460295936208,Waste,Llandarcy,N P T,2
St. Pierre Farm Poultry Unit,-2.7075110027786105,51.60670004536869,Installation,Caldicot,Gwent,2
Standard Landfill Site,-3.062821455764955,53.178182788778216,Waste,Buckley,Flintshire,1
Standard Road Transfer Station,-3.0653628189729814,53.177485882131855,Waste,Buckley,Flintshire,6
Step Up Skips,-3.300752415493511,51.67133743933788,Waste,Merthyr Tydfil,Glamorgan,1
Stormy Farm Landfill,-3.672149173603062,51.52224812170311,Waste,Bridgend,Glamorgan,1
Stormy West,-3.665553718707866,51.51215371475814,Waste,Pyle,Bridgend,1
Stud Poultry Farm,-3.144149608942171,52.30250071966898,Installation,KNIGHTON,Powys,2
Summerleaze Pet Crematorium,-2.841251166932964,51.5564269188951,Waste,Newport,Gwent,10
Swn Y Gwynt Poultry Farm EPR/KP3038WK,-4.369872751371346,53.25471829633467,Installation,LLANGEFNI,Gwynedd,2
Sychtyn,-3.480504328979501,52.65512809468248,Waste,Welshpool,Powys,3
Talbot Wharf,-3.793356858005549,51.58774709098668,Waste,Port Talbot,Neath Port Talbot,3
Talfarn Farm,-4.53835919860931,51.79592647293156,Waste,St. Clears,Carmarthenshire,2
Tangiers Quarry,-4.979472804083261,51.832812218777526,Waste,Haverfordwest,Pembrokeshire,1
Tanygroes Metal Recycling,-4.493048383258615,52.126554522633214,Waste,Cardigan,Ceredigion,2
Taybrite Works,-4.095115842440016,51.66566755761175,Waste,Bynea,Llanelli,6
Tazrock,-3.541411687484056,51.74856059545877,Waste,Aberdare,Rhondda Cynon Taff,6
Teifi Park Abbattoir EPR/BV9683IH,-4.151171163232204,52.07839376840401,Installation,LLANYBYDDER,Carmarthenshire,4
The Graig Yffaldau Waste Transfer,-3.2733757308633424,52.256124809030325,Waste,Llandrindod Wells,Powys,7
The Granary,-3.232159783375657,51.60886542288034,Waste,Llanbradach,Mid Glamorgan,7
The Lodge,-3.464797918837573,51.46832597240533,Waste,Cowbridge,Vale Of Glamorg,7
The Maesydd,-3.08295237641069,52.717918475467215,Waste,Welshpool,Powys,1
The Old Brickworks,-2.992459022553794,51.714458760127805,Waste,Pontypool,Torfaen,3
The Old Coal Yard,-3.067920873651274,52.97301515352908,Waste,Wrexham,Wrexham,1
The Old Forge,-3.825335526163064,51.65982192960442,Waste,Neath,West Glamorgan,4
The Old Transport Yard,-3.0492862454342524,53.19743204730631,Waste,Deeside,Flintshire,2
The Recycling Centre,-3.2274703690777025,51.62828279543864,Waste,Ystrad Mynach,Hengoed,7
The Research Centre,-3.671257182927783,51.50772927991756,Installation,BRIDGEND,Mid Glamorgan,3
The Royal Mint,-3.3887994660791105,51.5542167643471,Installation,Pontyclun,Rhondda Cynon Taf,3
The Smithy,-4.211797016726092,52.23083840120373,Waste,Aberaeron,Ceredigion,1
The Waste Transfer Station,-3.6715393957480416,51.51150202661536,Waste,Bridgend,Glamorgan,7
Thomas Brothers,-4.994212983723148,51.715588612460806,Waste,Milford Haven,Pembrokeshire,7
Thomas Skip And Plant Hire Ltd,-4.245401243196266,53.16642079845905,Waste,Caernarfon,Gwynedd,1
Tir Barwn,-3.4573996777005167,53.00857675591832,Installation,CORWEN,Clwyd,1
Tir Gwaid Farm  Landfill,-3.419330485153945,51.63924780980144,Waste,Wattstown,R C T,1
Tir John Landfill,-3.920751197469738,51.65956750845185,Installation,SWANSEA,West Glamorgan,1
Tollgate House,-3.1999961066182703,51.455824574710114,Waste,Llandough,Glamorgan,6
Tom James Construction Services Ltd,-3.943913137260093,53.001814176012736,Waste,Blaenau Ffestiniog,Gwynedd,1
Tondu Waste Transfer Station,-3.5955199682114003,51.550229361113296,Waste,Bridgend,Glamorgan,7
Transfer Station,-4.338964937422405,51.84572958494567,Waste,Carmarthen,Carmarthenshire,3
Trecatti Landfill,-3.3323727966419745,51.76024345332889,Installation,Merthyr Tydfil,Merthyr Tydfil,7
Tredegar Quarry Complex,-3.3093174228182827,51.82473832216785,Waste,Tredegar,Blaenau Gwent,2
Treforest Civic Amenity Site,-3.289109595502532,51.57038005604098,Waste,Pontypridd,R C T,1
Treforest Transfer Station,-3.283873812180369,51.56635515903392,Waste,Pontypridd,R C T,8
Treherbert Community Recycling Centre,-3.53165336336311,51.670755553556255,Waste,Treorchy,Rhondda Cynon Taff,7
Trehir Civic Amenity Site,-3.223964765667586,51.59841281880114,Waste,Llanbradach,Caerphilly,1
Trehir Quarry Landfill,-3.222720545933592,51.59831788789435,Waste,Caerphilly,Glamorgan,1
Tremorfa Melt Shop,-3.1361199393002823,51.48014578666852,Installation,Cardiff,Cardiff,84
Trident Commercial Holdings Limited Trading As Trident Metals,-3.006322569777466,53.20440086749991,Waste,Deeside,Flintshire,2
Troedrhiwgwynau Farm,-4.035190063560147,52.41943349211204,Waste,Aberystwyth,Ceredigion,1
Troste Depot,-4.137844302388648,51.67326935409254,Waste,Trostre Industrial Park,Llanelli,6
Trostre Civic Amenity / Transfer Station,-4.136436354530663,51.6743920858428,Waste,Llanelli,Carmarthenshire,7
Trostrey Court Farm EPR/FP3836MU,-2.920205462239786,51.73461225604402,Installation,Usk,Monmouthshire,2
Tunnel Yard,-3.259417118944016,51.45711648337655,Waste,Cardiff,Vale of Glamorgan,1
Twyn Dismantlers Ltd,-3.2242997801574536,51.65807847809637,Waste,Blackwood,Caerphilly,1
Txo Systems Ltd,-2.672350323444923,51.61556550928472,Waste,Chepstow,Monmouthshire,1
Ty Brith,-3.28666098763661,52.66434142489288,Installation,WELSHPOOL,Powys,2
Ty Castle,-2.820644570172244,51.858169982379,Installation,MONMOUTH,Gwent,2
Ty Coch Depot,-3.02200840531068,51.64024114300816,Installation,Cwmbran,Torfaen,4
Ty Mawr,-4.4381800848087565,53.25105633316891,Waste,Ty Croes,Gwynedd,2
Ty Mawr ( East Quarry),-4.2421639096629065,53.048601860358346,Waste,Talysarn,Caernarfon,1
Ty Mawr East Quarry Landfill,-4.24094494093226,53.04955091249996,Waste,Penygroes,Gwynedd,1
Ty Mawr Farm Landfill,-3.591760282644687,53.26513426976632,Waste,Abergele,Conwy,1
Ty Newydd Farm,-2.897438847468419,51.77686777641439,Installation,USK,Gwent,2
Ty'n Y Coed,-4.100151502493084,52.92143900900787,Waste,Penrhyndeudraeth,Gwynedd,5
Ty'r Eos Farm Landfill,-2.8859048447987363,51.74152950477361,Waste,Usk,Monmouthshire,1
Tydu Farm,-3.286290861669796,51.64274115736174,Waste,Treharris,Caerphilly,1
Tythegston Civic Amenity Site,-3.65725799867941,51.49959211157698,Waste,Tythegston,Bridgend,2
U R A Birdport Docks Site,-2.9663683187957623,51.5639151204937,Waste,Newport,Gwent,3
UK Salvage Car Parts Ltd,-3.4527464722559222,51.63035065597256,Waste,Tonypandy,Rhondda Cynon Taf,1
Unit 1- Crugmore Farm,-4.624790574590682,52.09417021414923,Waste,Cardigan,Ceredigion,8
Unit 1- Crugmore Farm,-4.620979382340539,52.09391334161966,Waste,Cardigan,Ceredigion,1
Unit 11,-3.136583220627494,51.473873945833226,Installation,Cardiff,Cardiff,1
Unit 11 & The Old Engine House,-3.917258116758681,51.65902211919509,Waste,Swansea,Swansea,7
Unit 14,-2.960538067723949,51.62198584377743,Waste,Caerleon,Newport,1
Unit 15 Drome Road,-2.997274977757736,53.22740845517534,Waste,Deeside,Flintshire,4
Unit 17,-3.135058791731807,51.47568709476612,Waste,Cardiff,Cardiff,7
Unit 2,-3.5074545919499838,51.43505345653245,Waste,Cowbridge,South Glamorgan,7
Unit 2,-3.0329362370055715,52.34396553638377,Waste,Knighton,Powys,5
"Unit 2, Sea View Bungalow",-3.0784385007765094,51.50485161864078,Waste,Cardiff,Glamorgan,7
Unit 3 Clydesmuir Ind Est,-3.14476984301784,51.48972792426519,Waste,Cardiff,South Glamorgan,1
Unit 8,-3.50509457403839,51.43591107748525,Waste,Cowbridge,Vale of Glamorgan,1
University of South Wales Hydrogen R&D Centre,-3.8208128349436743,51.620937573981294,Installation,Port Talbot,Neath Port Talbot,1
Upper Bryn Free Range Poultry,-3.2266137198225797,52.54130761210929,Installation,Montgomery,Powys,1
Upper Esgair Farm,-3.33408860450408,52.405339826021326,Installation,LLANDRINDOD WELLS,Powys,1
Upper Ffrydd Poultry Unit,-3.481368684412768,52.51703996028648,Installation,Caersws,Powys,1
Upper Maenllwyd Farm Broiler Unit,-3.225475388806429,52.52267329234101,Installation,Newtown,Powys,1
Upper Triley Farm EPR/BT0332IK,-2.991738464989684,51.85999861241462,Installation,Abergavenny,Monmouthshire,1
Uskmouth Power Plant,-2.97484561876534,51.548136535343765,Installation,Newport,Gwent,4
Vale of Glamorgan Resource Recovery Facility,-3.246418461719168,51.3978719456124,Waste,Barry,Vale of Glamorgan,7
Valero Pembroke Oil Terminal,-4.988101252776672,51.711175400694,Installation,Milford Haven,Pembrokeshire,2
Valley Water Services Waste Treatment Facility,-3.1600291995558294,51.68656912664486,Waste,Newport,Newport,1
Vauxplus,-2.9599313475433133,51.61993173885944,Waste,Caerleon,Newport,5
Viridis 178 Swansea Power Plant,-4.013441817005087,51.64937253587017,Installation,Swansea,Swansea,1
Volac Felinfach,-4.168806934514384,52.197601975605146,Installation,Lampeter,Ceredigion,2
Volehurst Ltd,-2.982270809019571,51.57481581394865,Waste,Newport,Gwent,5
W D A - Formerly Erie Electronic 1,-2.9174289721070186,53.04205276626393,Waste,Wrexham,Clwyd,1
W D A - Formerly Erie Electronic 2,-2.9174289721070186,53.04205276626393,Waste,Wrexham,Clwyd,1
W H Chaloner & Son Ltd,-3.010902949400992,53.10061629356517,Waste,Wrexham,Clwyd,4
WREXHAM CABLE WORKS,-2.909730530275126,53.03982859348259,Installation,WREXHAM,Clwyd,1
Waen Anaerobic Digestion Site,-3.41663966690368,53.26445853627887,Installation,St Asaph,Clwyd,3
Waen Farm,-3.131884385771809,53.14614641799739,Waste,Mold,Flintshire,1
Waste Management Ltd,-4.372501108080614,53.25426139653041,Waste,Mona,Anglesey,6
Waste Transfer Station,-3.022969780221394,53.027518724764576,Waste,Wrexham,Clwyd,2
Waste Transfer Station Tir Ergyd Yard,-3.448456160193324,51.73641750567773,Waste,Aberdare,R C T,7
Wastesavers Resource Centre,-2.981829322003565,51.57106999098194,Waste,Newport,Newport,4
Waterloo Recycling Centre,-4.920922831482653,51.695867753797245,Waste,Pembroke Dock,Pembrokeshire,7
Waterston Car Breakers,-4.986560255145457,51.71217697103028,Waste,Milford Haven,Pembrokeshire,3
Waterton Depot,-3.5433818767489584,51.49743259693981,Waste,Bridgend,Glamorgan,7
Waun-y-Pound EPR/BX3376IG,-3.2293340432645388,51.786273078207,Installation,Ebbw Vale,Blaenau Gwent,1
Waunarlwydd EPR/BX9846ID,-4.020872481024175,51.648084807516256,Installation,SWANSEA,West Glamorgan,2
Waunlwyd Farm,-4.401272441389236,51.960272722113245,Waste,Cynwyl Elfed,Carmarthenshire,1
Weaver Autosalvage,-3.411136037098603,51.74945111158933,Waste,Merthyr Tydfil,Glamorgan,5
Weighbridge Yard,-3.423236208361706,51.70763737474788,Waste,Aberdare,R C T,6
Wern Heulog Poultry Unit,-3.34954513295529,52.16969323596361,Installation,Builth Wells,Powys,1
Wern Tarw Recycling Ltd,-3.682687656053,51.5238508782731,Waste,Bridgend,Mid Glamorgan,7
Wernddu Civic Amenity And Transfer Station,-3.963972993938485,51.81996781828778,Waste,Ammanford,Carmarthenshire,7
Western Wood Energy Plant,-3.745943775377081,51.561584235533445,Installation,PORT TALBOT,West Glamorgan,1
Whitchurch Salt Slags,-2.7348892411783834,52.946945759570006,Installation,Whitchurch,Shropshire,20
Whitehall Landfill,-3.272161250844042,51.45267168102088,Waste,Cardiff,Glamorgan,1
Whitland Recycling Centre & Civic Amenity Site,-4.623940959247299,51.82006379409895,Waste,Whitland,Carmarthenshire,7
Williams Plant Hire Ltd,-3.2636001960674923,52.53325861310254,Waste,Newtown,Powys,10
Winsel Civic Amenity & Recycling Site,-5.003915055295228,51.778019688881535,Waste,Haverfordwest,Pembrokeshire,6
Withyhedge Material Recycling Facility,-4.957193440147648,51.84261159374655,Waste,Haverfordwest,Pembrokeshire,10
Wogaston,-5.027300127735518,51.66989558705236,Waste,Pembroke,Pembrokeshire,1
Worldcare Recycling,-3.805873191441222,53.28208529336727,Waste,Llandudno Junction,Conwy,3
Worldcare Wales Ltd,-3.805253859668248,53.28162719358218,Waste,Llandudno Junction,Conwy,1
Wrexham Clinical Waste Treatment Facility (HDU & TS),-2.91692654225256,53.04157121245973,Installation,Wrexham,Wrexham,2
Wrexham Clinical Waste Treatment Facility (Incinerator),-2.917213348372268,53.041029635623566,Installation,WREXHAM,Clwyd,1
Wrexham Convenience Foods,-2.9247619015431807,53.04458492561346,Installation,Wrexham,Wrexham,2
Wrexham Mill,-2.9210105048978754,53.04073959603512,Installation,Wrexham,Wrexham CBC,1
Wrexham Pharmaceutical Works,-2.9263343608650207,53.0490494184122,Installation,WREXHAM,Clwyd,1
Wylfa Power Station,-4.48323055870614,53.417512738525296,Installation,Cemaes Bay,Isle of Anglesey,1
Ystym Colwyn Farm,-3.198607778209594,52.740044897571785,Installation,Welshpool,Powys,1
[TEST],-3.4775359361519933,52.588563344987726,Installation,Bangor,Gwynedd,1
